total_sum;is_correct
-10134;yes
68118;yes
36681;yes
-65956;yes
-91197;yes
25698;yes
16480;yes
103277;yes
39228;yes
-104116;yes
12389;yes
25364;yes
35108;yes
-5658;yes
130317;yes
8536;yes
-1817;yes
-6234;yes
-116328;yes
3668;yes
55003;yes
48878;yes
-45770;yes
84227;yes
8792;yes
66864;yes
-120126;yes
30094;yes
-57775;yes
23164;yes
73437;yes
100824;yes
-96203;yes
-131903;yes
32235;yes
-72582;yes
72203;yes
-3225;yes
-41513;yes
149419;yes
-12205;yes
20996;yes
67388;yes
-86686;yes
-73918;yes
120979;yes
87385;yes
104927;yes
12360;yes
144437;yes
19599;yes
54527;yes
-77071;yes
105003;yes
126855;yes
-88531;yes
73739;yes
-104994;yes
-111344;yes
14424;yes
-116169;yes
84432;yes
3552;yes
139338;yes
-133505;yes
-181907;yes
-14587;yes
164386;yes
40259;yes
-21428;yes
-44097;yes
60750;yes
153443;yes
29355;yes
-44451;yes
-133808;yes
-22793;yes
65445;yes
-38249;yes
-71250;yes
-33876;yes
45947;yes
-139338;yes
-120596;yes
-37403;yes
42126;yes
-10449;yes
5093;yes
957;yes
112699;yes
30124;yes
-84359;yes
82235;yes
121802;yes
23333;yes
12751;yes
-22569;yes
36415;yes
-40755;yes
77609;yes
58502;yes
37198;yes
48130;yes
-14457;yes
95777;yes
120103;yes
61418;yes
914;yes
65922;yes
-68919;yes
37782;yes
-10710;yes
14415;yes
104947;yes
637;yes
75177;yes
-99197;yes
46620;yes
-33973;yes
88579;yes
1313;yes
89279;yes
28763;yes
-79519;yes
-79258;yes
-137267;yes
145339;yes
62856;yes
70275;yes
-66446;yes
-61563;yes
143409;yes
55921;yes
-146814;yes
108191;yes
-76548;yes
-5478;yes
-121312;yes
66531;yes
41659;yes
88760;yes
-14515;yes
72188;yes
-79009;yes
-62317;yes
-5397;yes
89118;yes
-103233;yes
-129498;yes
13569;yes
22857;yes
-166432;yes
169925;yes
42643;yes
-37780;yes
-19703;yes
-160835;yes
-46356;yes
-112127;yes
-59119;yes
16159;yes
37194;yes
-34737;yes
95039;yes
-175289;yes
-70666;yes
-73490;yes
11849;yes
-20267;yes
32962;yes
16824;yes
-83614;yes
-2568;yes
115553;yes
2105;yes
-85499;yes
-52919;yes
116782;yes
18973;yes
91063;yes
69850;yes
62429;yes
22530;yes
78620;yes
128813;yes
32930;yes
69232;yes
71664;yes
74320;yes
68301;yes
13361;yes
90080;yes
60373;yes
-74335;yes
-35505;yes
-96600;yes
-15052;yes
-67222;yes
84581;yes
101286;yes
-103999;yes
68049;yes
-128976;yes
-40747;yes
100421;yes
-66409;yes
-38306;yes
-1247;yes
103472;yes
-144534;yes
15837;yes
171729;yes
-58129;yes
-76648;yes
53536;yes
-150364;yes
96129;yes
-80940;yes
-47947;yes
7758;yes
55617;yes
-7523;yes
-68598;yes
-81736;yes
116374;yes
1443;yes
-154303;yes
-5864;yes
18700;yes
-60776;yes
30293;yes
-161791;yes
19391;yes
73800;yes
158277;yes
-2729;yes
10061;yes
-157309;yes
27966;yes
26011;yes
-124024;yes
-81188;yes
111805;yes
-145531;yes
-51363;yes
-90473;yes
-18883;yes
-21066;yes
-118267;yes
-32775;yes
68048;yes
-68406;yes
77132;yes
-80573;yes
8922;yes
17847;yes
23486;yes
-132098;yes
167667;yes
18808;yes
69027;yes
-108166;yes
115895;yes
-64810;yes
-38221;yes
98299;yes
4635;yes
17681;yes
30098;yes
-106751;yes
123865;yes
32854;yes
-107852;yes
-78313;yes
-23523;yes
19148;yes
-22074;yes
79087;yes
63276;yes
30934;yes
19034;yes
-112521;yes
6672;yes
-53557;yes
26801;yes
37554;yes
101287;yes
-77643;yes
32155;yes
-74018;yes
29353;yes
101183;yes
48186;yes
-118621;yes
-100197;yes
63153;yes
-150109;yes
188217;yes
83655;yes
-76753;yes
-112257;yes
-18623;yes
175092;yes
-161223;yes
17399;yes
40436;yes
-1700;yes
62466;yes
93810;yes
-125776;yes
89541;yes
-50939;yes
-92061;yes
57743;yes
-13287;yes
133365;yes
172396;yes
-33793;yes
-31295;yes
-48696;yes
-7494;yes
132753;yes
-102203;yes
59844;yes
4675;yes
81422;yes
173932;yes
-86649;yes
40254;yes
-54160;yes
13743;yes
27215;yes
124468;yes
43791;yes
124951;yes
15439;yes
-43018;yes
101385;yes
-72361;yes
-60973;yes
-28132;yes
-145754;yes
-72328;yes
-114583;yes
9454;yes
-60068;yes
73976;yes
11735;yes
-69878;yes
56952;yes
103722;yes
-359;yes
36159;yes
-708;yes
30473;yes
-11731;yes
142618;yes
31730;yes
82389;yes
-51386;yes
75320;yes
-57463;yes
85968;yes
153326;yes
-105557;yes
-167972;yes
-43546;yes
28376;yes
121632;yes
-154244;yes
-64194;yes
40423;yes
-25041;yes
-108547;yes
50104;yes
86686;yes
-74001;yes
119401;yes
-777;yes
-119061;yes
-8867;yes
-12549;yes
-45044;yes
-134132;yes
43645;yes
-45379;yes
-47397;yes
10057;yes
-48123;yes
-145224;yes
49006;yes
17225;yes
-37218;yes
63881;yes
43349;yes
122565;yes
63311;yes
53577;yes
64569;yes
81166;yes
-149390;yes
-22799;yes
65053;yes
-84303;yes
31407;yes
-98661;yes
47250;yes
-75947;yes
-65725;yes
-3365;yes
83522;yes
4239;yes
-79244;yes
-79134;yes
-18008;yes
-86615;yes
-30274;yes
-9242;yes
-144993;yes
43863;yes
-124152;yes
109485;yes
-115057;yes
99409;yes
9794;yes
19110;yes
9714;yes
63680;yes
-2815;yes
-437;yes
141348;yes
-82247;yes
38710;yes
39850;yes
-43702;yes
-133928;yes
139162;yes
-8479;yes
-154665;yes
76472;yes
-57843;yes
138253;yes
-61283;yes
-121074;yes
-37419;yes
-59709;yes
-17277;yes
-172915;yes
31256;yes
109641;yes
36544;yes
-76955;yes
101748;yes
89847;yes
-22892;yes
-72986;yes
4349;yes
21420;yes
112024;yes
18265;yes
32004;yes
-78902;yes
49930;yes
-143843;yes
-103553;yes
72685;yes
63731;yes
152467;yes
-20040;yes
-123295;yes
29831;yes
139901;yes
38345;yes
-46488;yes
-26403;yes
-52794;yes
131960;yes
-95229;yes
-42354;yes
-98425;yes
6050;yes
-93483;yes
-107172;yes
32702;yes
-48129;yes
8115;yes
86131;yes
-107449;yes
-153772;yes
66456;yes
8417;yes
153945;yes
-31117;yes
-17447;yes
-71768;yes
144689;yes
28094;yes
145593;yes
39907;yes
-110614;yes
-57078;yes
-46329;yes
37815;yes
36063;yes
-113009;yes
-80166;yes
-31648;yes
-38245;yes
25857;yes
-35670;yes
171193;yes
-132772;yes
52958;yes
-64179;yes
33093;yes
-1699;yes
-70008;yes
7114;yes
-27183;yes
-19112;yes
43660;yes
101933;yes
-67230;yes
-123234;yes
400;yes
150397;yes
75132;yes
3200;yes
38795;yes
-58333;yes
-144571;yes
92041;yes
120110;yes
77275;yes
40147;yes
75696;yes
-21787;yes
72588;yes
15854;yes
81581;yes
33729;yes
13186;yes
66012;yes
111230;yes
150289;yes
29063;yes
42790;yes
143230;yes
107002;yes
-47847;yes
-22329;yes
82138;yes
33436;yes
105751;yes
-53390;yes
-92806;yes
-1122;yes
26105;yes
89476;yes
62366;yes
-125433;yes
69932;yes
-4138;yes
-10231;yes
4475;yes
-78314;yes
-76148;yes
-72076;yes
-62285;yes
-81351;yes
157997;yes
103758;yes
20428;yes
34830;yes
95297;yes
115620;yes
-77700;yes
-55846;yes
141435;yes
-117213;yes
50347;yes
130176;yes
116484;yes
170431;yes
-81382;yes
17509;yes
-51021;yes
-117615;yes
-29861;yes
43175;yes
-81223;yes
-28365;yes
59574;yes
-49932;yes
-147340;yes
77059;yes
-48795;yes
-10877;yes
67856;yes
-43094;yes
-73103;yes
-74365;yes
-139982;yes
95226;yes
-66447;yes
-29228;yes
-9162;yes
27798;yes
73677;yes
-121095;yes
-80277;yes
79106;yes
23004;yes
113334;yes
-38773;yes
137875;yes
24500;yes
-36228;yes
59631;yes
-112679;yes
176080;yes
143953;yes
-53492;yes
-15218;yes
27321;yes
-37692;yes
83402;yes
107408;yes
49110;yes
23511;yes
-123814;yes
-61093;yes
59382;yes
51141;yes
-194437;yes
82952;yes
9241;yes
50041;yes
-18219;yes
-80355;yes
23491;yes
31747;yes
93484;yes
-139569;yes
-3694;yes
-47080;yes
-98703;yes
79367;yes
-179781;yes
-67847;yes
-66321;yes
70668;yes
-181690;yes
-10884;yes
-134878;yes
-14797;yes
-84890;yes
-31160;yes
40130;yes
-4700;yes
41740;yes
-95852;yes
-41772;yes
34800;yes
97350;yes
-45148;yes
164233;yes
-27059;yes
30567;yes
64819;yes
-78698;yes
-89871;yes
105337;yes
-88206;yes
68095;yes
133021;yes
-131201;yes
25093;yes
54804;yes
97728;yes
122421;yes
-121025;yes
35651;yes
21154;yes
3574;yes
112195;yes
-74091;yes
-53643;yes
100389;yes
-1689;yes
-40750;yes
-77203;yes
-67750;yes
-1154;yes
-12106;yes
-155631;yes
-17680;yes
-171125;yes
38633;yes
92111;yes
81864;yes
39205;yes
6548;yes
-43181;yes
-12427;yes
586;yes
66794;yes
88794;yes
123587;yes
88664;yes
-67476;yes
-126878;yes
36629;yes
37694;yes
-18956;yes
-94394;yes
-116111;yes
-5392;yes
-36861;yes
149269;yes
164790;yes
97476;yes
76178;yes
153234;yes
91727;yes
-117108;yes
15377;yes
34831;yes
-42956;yes
-56341;yes
-44337;yes
55413;yes
41449;yes
-53914;yes
-53502;yes
-82431;yes
50514;yes
106278;yes
-154803;yes
-101576;yes
40460;yes
36436;yes
2460;yes
38965;yes
68097;yes
102093;yes
-42871;yes
-17432;yes
14220;yes
-32255;yes
90029;yes
92462;yes
66928;yes
-129094;yes
50821;yes
3543;yes
-17134;yes
15119;yes
-4923;yes
-136441;yes
-24679;yes
67763;yes
12245;yes
125578;yes
-82648;yes
86627;yes
39504;yes
-54213;yes
70043;yes
-91903;yes
40791;yes
-83408;yes
-93307;yes
9213;yes
-38311;yes
13102;yes
184742;yes
-17230;yes
95102;yes
19046;yes
147845;yes
-159426;yes
-80057;yes
-19900;yes
-129786;yes
124510;yes
-4386;yes
-97876;yes
-117075;yes
20993;yes
-36115;yes
1714;yes
-64300;yes
-116982;yes
-94590;yes
15200;yes
138395;yes
-92711;yes
-160591;yes
73649;yes
-16916;yes
-31210;yes
6274;yes
150956;yes
95472;yes
190573;yes
-117776;yes
126964;yes
-2940;yes
-59042;yes
-27168;yes
149521;yes
-70875;yes
102028;yes
31085;yes
-42522;yes
-8936;yes
-138786;yes
135330;yes
6463;yes
105201;yes
-5538;yes
-201035;yes
-18283;yes
125221;yes
7486;yes
71354;yes
-71535;yes
-95388;yes
-26533;yes
-90723;yes
-53655;yes
-37077;yes
148063;yes
-25999;yes
-12126;yes
-108775;yes
182217;yes
83927;yes
-44480;yes
86883;yes
-17473;yes
141848;yes
156727;yes
-104311;yes
-133268;yes
241658;yes
-51429;yes
26214;yes
-42542;yes
-125962;yes
-141995;yes
129305;yes
130107;yes
-139832;yes
193341;yes
-122858;yes
-187738;yes
-237495;yes
-179614;yes
-70580;yes
121647;yes
-42471;yes
87400;yes
-111883;yes
37538;yes
-41097;yes
-158367;yes
-9983;yes
-3812;yes
120215;yes
-46022;yes
813;yes
38762;yes
-80217;yes
36559;yes
-224;yes
-249616;yes
-92674;yes
3037;yes
-265;yes
74034;yes
-42770;yes
-30381;yes
-4652;yes
124985;yes
-160704;yes
-65464;yes
64015;yes
-107995;yes
6523;yes
-118743;yes
121136;yes
-108822;yes
85317;yes
-42055;yes
-54688;yes
-117521;yes
-146978;yes
6069;yes
-40097;yes
-140753;yes
108991;yes
-16925;yes
5190;yes
-158350;yes
-146816;yes
-183892;yes
-94217;yes
42303;yes
136384;yes
94754;yes
-162526;yes
-92598;yes
-65603;yes
-8531;yes
-113530;yes
160175;yes
43159;yes
-102041;yes
-163741;yes
158155;yes
-156769;yes
-37413;yes
-144375;yes
-86670;yes
-24586;yes
-82985;yes
-139531;yes
-11860;yes
122209;yes
-32626;yes
-83409;yes
-10707;yes
-70934;yes
114335;yes
138617;yes
102232;yes
15940;yes
-113332;yes
39523;yes
-22316;yes
40243;yes
-176876;yes
107351;yes
79059;yes
-31004;yes
75948;yes
9818;yes
191466;yes
-188385;yes
176393;yes
-50984;yes
-102346;yes
-46192;yes
222442;yes
187339;yes
-114467;yes
67529;yes
170679;yes
8613;yes
-100141;yes
124536;yes
81746;yes
39927;yes
-70061;yes
103658;yes
53890;yes
12190;yes
-90364;yes
142978;yes
191268;yes
4819;yes
-53051;yes
-83143;yes
18099;yes
101832;yes
-28647;yes
57543;yes
52409;yes
132579;yes
48567;yes
27759;yes
-28002;yes
93135;yes
-49848;yes
-11825;yes
-176669;yes
25466;yes
122370;yes
72790;yes
-183008;yes
65887;yes
196940;yes
196795;yes
62190;yes
-67608;yes
43507;yes
112815;yes
107597;yes
-233647;yes
25413;yes
-51689;yes
-141895;yes
168327;yes
-119609;yes
76709;yes
105293;yes
-19443;yes
-51328;yes
113226;yes
-232623;yes
-215595;yes
31120;yes
22389;yes
180155;yes
25545;yes
-31020;yes
91090;yes
27515;yes
-23246;yes
105016;yes
8348;yes
92085;yes
5150;yes
124234;yes
-39468;yes
26786;yes
178949;yes
-161857;yes
75746;yes
80766;yes
-8984;yes
49612;yes
164062;yes
-60490;yes
-49823;yes
-2343;yes
-37669;yes
14348;yes
194414;yes
-22311;yes
-112771;yes
-84958;yes
142619;yes
-31254;yes
76752;yes
-74111;yes
143733;yes
-13075;yes
-136880;yes
194814;yes
100700;yes
79681;yes
-19076;yes
-140759;yes
130122;yes
-18245;yes
-20323;yes
107484;yes
-5335;yes
44767;yes
-44628;yes
-197032;yes
9342;yes
-2883;yes
81006;yes
-134893;yes
26076;yes
48904;yes
230;yes
72583;yes
4210;yes
75182;yes
125373;yes
-114450;yes
151107;yes
-19486;yes
189354;yes
-60090;yes
-35535;yes
95414;yes
-53475;yes
143253;yes
-21022;yes
-225976;yes
-201314;yes
-103474;yes
42760;yes
116852;yes
-62076;yes
51262;yes
1534;yes
168199;yes
-184969;yes
-175630;yes
66885;yes
-78234;yes
58119;yes
141424;yes
-117981;yes
252580;yes
66179;yes
122137;yes
-88827;yes
2326;yes
223959;yes
449;yes
242879;yes
149607;yes
18795;yes
20470;yes
183731;yes
236081;yes
53773;yes
-56185;yes
36567;yes
-58592;yes
50037;yes
72225;yes
-82438;yes
20089;yes
-172617;yes
-113784;yes
165409;yes
-79290;yes
-51718;yes
-44351;yes
-5740;yes
-61581;yes
72980;yes
-73345;yes
2275;yes
-90077;yes
-16794;yes
11549;yes
236734;yes
-110879;yes
68977;yes
21820;yes
71136;yes
195741;yes
-107377;yes
-29803;yes
-125561;yes
47061;yes
115498;yes
108995;yes
-57014;yes
-3091;yes
-13463;yes
-282745;yes
129858;yes
105596;yes
-54871;yes
31197;yes
32645;yes
-4324;yes
8746;yes
36129;yes
99368;yes
-150685;yes
-42336;yes
38883;yes
-68619;yes
38137;yes
-3850;yes
55817;yes
63049;yes
-225994;yes
-67268;yes
17749;yes
-145165;yes
-190368;yes
60698;yes
-103621;yes
87170;yes
76013;yes
-60431;yes
30136;yes
47565;yes
-4260;yes
40688;yes
175689;yes
107909;yes
3426;yes
35228;yes
30627;yes
-77373;yes
-44929;yes
21268;yes
15924;yes
-193443;yes
11885;yes
-89954;yes
111780;yes
72763;yes
-30272;yes
224505;yes
175671;yes
-94124;yes
-202006;yes
-76888;yes
32145;yes
162214;yes
64647;yes
-87835;yes
-28617;yes
3340;yes
121312;yes
-44026;yes
-16016;yes
-98987;yes
-59170;yes
19124;yes
-85535;yes
-44319;yes
161178;yes
29944;yes
110881;yes
-167029;yes
180736;yes
-122449;yes
85752;yes
102321;yes
94646;yes
-110665;yes
102439;yes
190765;yes
114485;yes
4903;yes
-17881;yes
114195;yes
120576;yes
-26910;yes
-8765;yes
-23178;yes
-92231;yes
-97793;yes
-142122;yes
83;yes
-16016;yes
36747;yes
72109;yes
235487;yes
-174973;yes
-100665;yes
-139747;yes
158879;yes
-154531;yes
-126842;yes
38005;yes
99311;yes
92703;yes
67311;yes
87292;yes
16159;yes
-106766;yes
-31798;yes
-8351;yes
-91983;yes
43047;yes
-127967;yes
-44120;yes
83012;yes
-176267;yes
-222843;yes
-98101;yes
-23368;yes
-39072;yes
164335;yes
144453;yes
19203;yes
-21513;yes
12799;yes
-5936;yes
102950;yes
72659;yes
24130;yes
111339;yes
96967;yes
64782;yes
75158;yes
182919;yes
-5041;yes
61725;yes
-158774;yes
-15906;yes
-77319;yes
66321;yes
-110345;yes
-105567;yes
-124332;yes
176077;yes
196138;yes
25057;yes
46683;yes
-42309;yes
-23604;yes
-86621;yes
8415;yes
-205933;yes
40002;yes
-67861;yes
48374;yes
-21916;yes
11172;yes
154610;yes
-140283;yes
-49711;yes
-22401;yes
73199;yes
-147611;yes
-86216;yes
-170037;yes
-63674;yes
-91966;yes
127903;yes
-46948;yes
-65529;yes
-93094;yes
-10983;yes
67917;yes
-113764;yes
-25231;yes
138538;yes
16101;yes
22760;yes
-124884;yes
-79555;yes
-56866;yes
-2097;yes
-31580;yes
35339;yes
-44773;yes
-59147;yes
66054;yes
5242;yes
-1448;yes
7197;yes
70719;yes
3137;yes
-86396;yes
-48371;yes
-12886;yes
48598;yes
-85482;yes
29648;yes
233041;yes
67357;yes
1846;yes
16235;yes
70590;yes
16336;yes
224359;yes
61243;yes
-59794;yes
-134306;yes
232;yes
93685;yes
210170;yes
-83013;yes
269339;yes
-89938;yes
-26097;yes
56026;yes
-12985;yes
4713;yes
69307;yes
-106009;yes
15000;yes
46116;yes
13656;yes
-58458;yes
44047;yes
-117817;yes
-2436;yes
151701;yes
60706;yes
88719;yes
-70317;yes
-32504;yes
74749;yes
-30381;yes
-171704;yes
-101876;yes
74102;yes
101250;yes
67350;yes
-22489;yes
-60742;yes
-60760;yes
-114708;yes
51304;yes
122629;yes
39996;yes
258;yes
70481;yes
-84845;yes
123092;yes
158482;yes
-200426;yes
-93297;yes
116485;yes
70440;yes
-114552;yes
-180964;yes
-79913;yes
104384;yes
10461;yes
161713;yes
52062;yes
-21714;yes
5906;yes
-68972;yes
29602;yes
-5653;yes
-127980;yes
2405;yes
-23054;yes
212233;yes
-83283;yes
33480;yes
-14811;yes
-49110;yes
764;yes
106389;yes
-101546;yes
-29701;yes
-111789;yes
24717;yes
-165132;yes
55526;yes
-29629;yes
222791;yes
134588;yes
131882;yes
-273212;yes
82243;yes
-55411;yes
95365;yes
-51398;yes
-60069;yes
139893;yes
-116284;yes
-115178;yes
90;yes
112555;yes
168028;yes
61700;yes
25897;yes
16077;yes
69021;yes
6203;yes
166;yes
-124272;yes
-45114;yes
68931;yes
63206;yes
-27386;yes
67083;yes
34979;yes
109896;yes
-8606;yes
-28601;yes
-131915;yes
-232380;yes
31270;yes
-8010;yes
-3439;yes
14867;yes
191985;yes
-187;yes
111267;yes
50181;yes
17972;yes
95041;yes
-185810;yes
66135;yes
-73477;yes
-76338;yes
-238823;yes
21372;yes
205433;yes
-120352;yes
-26651;yes
24262;yes
4881;yes
7135;yes
8528;yes
119448;yes
73878;yes
-48617;yes
17951;yes
-50403;yes
16309;yes
132925;yes
176359;yes
135729;yes
-139929;yes
149416;yes
-41872;yes
139109;yes
167110;yes
53266;yes
53300;yes
-1232;yes
84888;yes
-110;yes
-149607;yes
113273;yes
-138828;yes
89712;yes
55449;yes
450;yes
111652;yes
-45219;yes
-169829;yes
30776;yes
50229;yes
93125;yes
-53175;yes
-114907;yes
-115689;yes
43108;yes
-2247;yes
-168770;yes
107235;yes
-54529;yes
-3079;yes
13930;yes
-128845;yes
218916;yes
70286;yes
-20322;yes
-217321;yes
90532;yes
92438;yes
37896;yes
-67735;yes
111249;yes
-54436;yes
48797;yes
-21017;yes
-82744;yes
10597;yes
73776;yes
135245;yes
-106467;yes
-63341;yes
-101016;yes
-76326;yes
-74770;yes
-135852;yes
-104089;yes
66049;yes
155665;yes
-47457;yes
-90762;yes
-94244;yes
14704;yes
-92313;yes
104514;yes
-114443;yes
-10390;yes
105508;yes
-139407;yes
-156813;yes
7865;yes
-133157;yes
-100693;yes
91995;yes
10354;yes
215227;yes
64521;yes
-96882;yes
-160550;yes
-201029;yes
101991;yes
100126;yes
84935;yes
113562;yes
29937;yes
118507;yes
-92190;yes
-81259;yes
43809;yes
213031;yes
-106337;yes
-143337;yes
-66394;yes
-62730;yes
70698;yes
-95918;yes
-36443;yes
-69604;yes
98720;yes
14591;yes
-33462;yes
-44123;yes
-173663;yes
135537;yes
-142844;yes
-48954;yes
-82902;yes
21452;yes
3853;yes
-115334;yes
86703;yes
-161493;yes
37901;yes
201223;yes
49076;yes
-161034;yes
-74962;yes
35888;yes
-121638;yes
-15295;yes
14514;yes
-153158;yes
49820;yes
100922;yes
-105561;yes
-53761;yes
13034;yes
-189410;yes
-87629;yes
43675;yes
-86011;yes
-93270;yes
197635;yes
-109464;yes
129065;yes
20835;yes
119632;yes
-23533;yes
162713;yes
128126;yes
63698;yes
18518;yes
-70007;yes
4133;yes
-30001;yes
164534;yes
-97887;yes
111604;yes
54716;yes
48544;yes
-37010;yes
82512;yes
154722;yes
-49505;yes
16454;yes
-177309;yes
-51082;yes
-1272;yes
155464;yes
-7751;yes
-33231;yes
4025;yes
-89311;yes
-60773;yes
60243;yes
-68003;yes
117392;yes
-54843;yes
60327;yes
202264;yes
-17889;yes
86499;yes
130140;yes
-151989;yes
-160164;yes
23850;yes
215310;yes
-141248;yes
-57220;yes
-94223;yes
85620;yes
192802;yes
-58788;yes
-110325;yes
-144305;yes
89999;yes
-5087;yes
-32449;yes
29935;yes
98900;yes
55928;yes
69251;yes
206299;yes
29285;yes
229068;yes
-30667;yes
-133154;yes
-10128;yes
149036;yes
-85804;yes
100279;yes
207361;yes
19357;yes
-86721;yes
29921;yes
67500;yes
-26012;yes
-20203;yes
52148;yes
-141629;yes
-34218;yes
37868;yes
-102391;yes
-51137;yes
98943;yes
-25174;yes
28310;yes
14982;yes
174553;yes
-195484;yes
-119733;yes
-145344;yes
11261;yes
86841;yes
-46266;yes
33891;yes
-41977;yes
29965;yes
-7970;yes
37476;yes
26945;yes
102182;yes
-125711;yes
112305;yes
-47481;yes
-42409;yes
-101850;yes
-82966;yes
114636;yes
99535;yes
-15661;yes
-10588;yes
-148013;yes
109556;yes
22576;yes
77084;yes
-99724;yes
81247;yes
-32843;yes
-152467;yes
31003;yes
-271101;yes
-202751;yes
-89822;yes
-250922;yes
26362;yes
17903;yes
-35701;yes
18427;yes
-168459;yes
226446;yes
-17868;yes
31132;yes
145025;yes
151116;yes
-172770;yes
45077;yes
-9914;yes
55608;yes
23588;yes
-112311;yes
23306;yes
26843;yes
-78311;yes
-106614;yes
-1376;yes
91775;yes
51284;yes
169687;yes
72910;yes
41644;yes
-127722;yes
211530;yes
49153;yes
-117846;yes
-152284;yes
-54105;yes
121636;yes
115702;yes
1081;yes
-90677;yes
-1329;yes
-98743;yes
-18340;yes
-62299;yes
-27859;yes
-159781;yes
155546;yes
-70125;yes
97025;yes
-76473;yes
-151655;yes
149469;yes
22366;yes
-156253;yes
89982;yes
235076;yes
37026;yes
-261671;yes
-54717;yes
117705;yes
-124599;yes
-126170;yes
-101491;yes
-160040;yes
-16282;yes
-187570;yes
5917;yes
-33548;yes
5904;yes
127589;yes
-28032;yes
123895;yes
91726;yes
160522;yes
-121700;yes
-116182;yes
-98387;yes
-216040;yes
101349;yes
66941;yes
126907;yes
-69688;yes
-95043;yes
114259;yes
-57994;yes
-116172;yes
-3916;yes
24337;yes
63268;yes
-16803;yes
112690;yes
71951;yes
42953;yes
-147611;yes
-159281;yes
-118939;yes
-145468;yes
58313;yes
64813;yes
-119191;yes
128557;yes
-110608;yes
-85989;yes
-52411;yes
-71664;yes
-13099;yes
242045;yes
-4261;yes
224929;yes
-168292;yes
-22341;yes
153543;yes
35582;yes
46088;yes
79583;yes
-51564;yes
15840;yes
-43304;yes
169206;yes
-195240;yes
-157975;yes
-209934;yes
-8198;yes
-15225;yes
-22745;yes
28630;yes
-50295;yes
113976;yes
-193944;yes
-135739;yes
-198977;yes
70958;yes
45440;yes
88653;yes
-83605;yes
-10799;yes
-80528;yes
4113;yes
-49672;yes
-49024;yes
90775;yes
-40696;yes
48722;yes
95986;yes
50478;yes
56976;yes
61072;yes
-36829;yes
-100288;yes
-41143;yes
62513;yes
-49689;yes
-18072;yes
-138553;yes
-151136;yes
-58435;yes
-92653;yes
64066;yes
-625;yes
-112586;yes
-89524;yes
33698;yes
33272;yes
-120090;yes
60882;yes
-165377;yes
-215215;yes
-182423;yes
-10140;yes
-86286;yes
-28081;yes
8384;yes
93927;yes
89962;yes
58476;yes
38967;yes
-98375;yes
20110;yes
64359;yes
-71709;yes
116660;yes
20227;yes
-55111;yes
-219719;yes
-109218;yes
-11537;yes
-109858;yes
-40434;yes
144208;yes
-125134;yes
-154791;yes
-33398;yes
-105357;yes
-159994;yes
-9338;yes
116896;yes
-85799;yes
-82275;yes
-87569;yes
162280;yes
26532;yes
-9801;yes
-97514;yes
25087;yes
-87512;yes
-114786;yes
-98830;yes
4911;yes
71851;yes
97858;yes
132620;yes
-1774;yes
-60793;yes
97195;yes
18843;yes
-113893;yes
208107;yes
-93343;yes
123710;yes
93455;yes
17339;yes
272361;yes
-59314;yes
